"Region","Size","Cores","MemoryGB"
"eastus","Standard_D2ls_v6","2","4"
"eastus","Standard_D2lds_v6","2","4"
"eastus","Standard_A2_v2","2","4"
"eastus","Standard_B2s","2","4"
"eastus","Standard_F2","2","4"
"eastus","Standard_F2s","2","4"
"eastus","Standard_F2s_v2","2","4"
"eastus","Standard_D2ls_v5","2","4"
"eastus","Standard_D2lds_v5","2","4"
"eastus","Standard_B2ls_v2","2","4"
"eastus","Standard_B2als_v2","2","4"
"eastus","Standard_D2pls_v6","2","4"
"eastus","Standard_D2plds_v6","2","4"
"eastus","Standard_D2als_v6","2","4"
"eastus","Standard_D2alds_v6","2","4"
"eastus","Standard_F2als_v6","2","4"
"eastus","Standard_D2plds_v5","2","4"
"eastus","Standard_D2pls_v5","2","4"
"eastus","Standard_B2pls_v2","2","4"
"eastus","Standard_D2ls_v7","2","4"
"eastus","Standard_D2lds_v7","2","4"
"eastus","Standard_D2als_v7","2","4"
"eastus","Standard_D2alds_v7","2","4"
"eastus","Standard_F2als_v7","2","4"
"eastus","Standard_F2alds_v7","2","4"
"westus2","Standard_D2ls_v6","2","4"
"westus2","Standard_D2lds_v6","2","4"
"westus2","Standard_B2s","2","4"
"westus2","Standard_F2","2","4"
"westus2","Standard_F2s","2","4"
"westus2","Standard_A2_v2","2","4"
"westus2","Standard_F2s_v2","2","4"
"westus2","Standard_D2als_v6","2","4"
"westus2","Standard_D2alds_v6","2","4"
"westus2","Standard_F2als_v6","2","4"
"westus2","Standard_D2ls_v5","2","4"
"westus2","Standard_D2lds_v5","2","4"
"westus2","Standard_B2als_v2","2","4"
"westus2","Standard_B2ls_v2","2","4"
"westus2","Standard_D2ls_v7","2","4"
"westus2","Standard_D2lds_v7","2","4"
"westus2","Standard_D2pls_v6","2","4"
"westus2","Standard_D2plds_v6","2","4"
"westus2","Standard_D2plds_v5","2","4"
"westus2","Standard_D2pls_v5","2","4"
"westus2","Standard_B2pls_v2","2","4"
"westus2","Standard_D2als_v7","2","4"
"westus2","Standard_D2alds_v7","2","4"
"westus2","Standard_F2als_v7","2","4"
"westus2","Standard_F2alds_v7","2","4"
"australiaeast","Standard_A2_v2","2","4"
"australiaeast","Standard_B2s","2","4"
"australiaeast","Standard_F2","2","4"
"australiaeast","Standard_F2s","2","4"
"australiaeast","Standard_F2s_v2","2","4"
"australiaeast","Standard_D2ls_v5","2","4"
"australiaeast","Standard_D2lds_v5","2","4"
"australiaeast","Standard_B2ls_v2","2","4"
"australiaeast","Standard_B2als_v2","2","4"
"australiaeast","Standard_D2als_v7","2","4"
"australiaeast","Standard_D2alds_v7","2","4"
"australiaeast","Standard_F2als_v7","2","4"
"australiaeast","Standard_F2alds_v7","2","4"
"australiaeast","Standard_D2ls_v6","2","4"
"australiaeast","Standard_D2lds_v6","2","4"
"australiaeast","Standard_D2nls_v6","2","4"
"australiaeast","Standard_D2nlds_v6","2","4"
"australiaeast","Standard_D2als_v6","2","4"
"australiaeast","Standard_D2alds_v6","2","4"
"australiaeast","Standard_F2als_v6","2","4"
"australiaeast","Standard_D2pls_v6","2","4"
"australiaeast","Standard_D2plds_v6","2","4"
"australiaeast","Standard_D2plds_v5","2","4"
"australiaeast","Standard_D2pls_v5","2","4"
"australiaeast","Standard_B2pls_v2","2","4"
"southeastasia","Standard_B2s","2","4"
"southeastasia","Standard_F2","2","4"
"southeastasia","Standard_F2s","2","4"
"southeastasia","Standard_A2_v2","2","4"
"southeastasia","Standard_F2s_v2","2","4"
"southeastasia","Standard_B2als_v2","2","4"
"southeastasia","Standard_D2als_v7","2","4"
"southeastasia","Standard_D2alds_v7","2","4"
"southeastasia","Standard_F2als_v7","2","4"
"southeastasia","Standard_F2alds_v7","2","4"
"southeastasia","Standard_D2ls_v6","2","4"
"southeastasia","Standard_D2lds_v6","2","4"
"southeastasia","Standard_D2als_v6","2","4"
"southeastasia","Standard_D2alds_v6","2","4"
"southeastasia","Standard_F2als_v6","2","4"
"southeastasia","Standard_D2ls_v5","2","4"
"southeastasia","Standard_D2lds_v5","2","4"
"southeastasia","Standard_B2ls_v2","2","4"
"southeastasia","Standard_D2pls_v6","2","4"
"southeastasia","Standard_D2plds_v6","2","4"
"southeastasia","Standard_D2plds_v5","2","4"
"southeastasia","Standard_D2pls_v5","2","4"
"southeastasia","Standard_B2pls_v2","2","4"
"northeurope","Standard_B2als_v2","2","4"
"northeurope","Standard_B2s","2","4"
"northeurope","Standard_F2","2","4"
"northeurope","Standard_A2_v2","2","4"
"northeurope","Standard_F2s","2","4"
"northeurope","Standard_D2plds_v5","2","4"
"northeurope","Standard_D2pls_v5","2","4"
"northeurope","Standard_B2pls_v2","2","4"
"northeurope","Standard_F2s_v2","2","4"
"northeurope","Standard_D2ls_v5","2","4"
"northeurope","Standard_D2lds_v5","2","4"
"northeurope","Standard_B2ls_v2","2","4"
"northeurope","Standard_D2als_v6","2","4"
"northeurope","Standard_D2alds_v6","2","4"
"northeurope","Standard_F2als_v6","2","4"
"northeurope","Standard_D2ls_v6","2","4"
"northeurope","Standard_D2lds_v6","2","4"
"northeurope","Standard_D2nls_v6","2","4"
"northeurope","Standard_D2nlds_v6","2","4"
"northeurope","Standard_D2als_v7","2","4"
"northeurope","Standard_D2alds_v7","2","4"
"northeurope","Standard_F2als_v7","2","4"
"northeurope","Standard_F2alds_v7","2","4"
"northeurope","Standard_D2pls_v6","2","4"
"northeurope","Standard_D2plds_v6","2","4"
"swedencentral","Standard_B2als_v2","2","4"
"swedencentral","Standard_D2ls_v5","2","4"
"swedencentral","Standard_D2lds_v5","2","4"
"swedencentral","Standard_D2ls_v6","2","4"
"swedencentral","Standard_D2lds_v6","2","4"
"swedencentral","Standard_D2nls_v6","2","4"
"swedencentral","Standard_D2nlds_v6","2","4"
"swedencentral","Standard_D2pls_v6","2","4"
"swedencentral","Standard_D2plds_v6","2","4"
"swedencentral","Standard_D2als_v6","2","4"
"swedencentral","Standard_D2alds_v6","2","4"
"swedencentral","Standard_F2als_v6","2","4"
"swedencentral","Standard_A2_v2","2","4"
"swedencentral","Standard_B2s","2","4"
"swedencentral","Standard_F2","2","4"
"swedencentral","Standard_F2s","2","4"
"swedencentral","Standard_F2s_v2","2","4"
"swedencentral","Standard_B2ls_v2","2","4"
"swedencentral","Standard_D2plds_v5","2","4"
"swedencentral","Standard_D2pls_v5","2","4"
"swedencentral","Standard_B2pls_v2","2","4"
"swedencentral","Standard_D2als_v7","2","4"
"swedencentral","Standard_D2alds_v7","2","4"
"swedencentral","Standard_F2als_v7","2","4"
"swedencentral","Standard_F2alds_v7","2","4"
"swedencentral","Standard_D2ls_v7","2","4"
"swedencentral","Standard_D2lds_v7","2","4"
"westeurope","Standard_B2s","2","4"
"westeurope","Standard_F2","2","4"
"westeurope","Standard_F2s","2","4"
"westeurope","Standard_A2_v2","2","4"
"westeurope","Standard_D2pls_v6","2","4"
"westeurope","Standard_D2plds_v6","2","4"
"westeurope","Standard_D2als_v6","2","4"
"westeurope","Standard_D2alds_v6","2","4"
"westeurope","Standard_F2als_v6","2","4"
"westeurope","Standard_F2s_v2","2","4"
"westeurope","Standard_D2ls_v5","2","4"
"westeurope","Standard_D2lds_v5","2","4"
"westeurope","Standard_B2ls_v2","2","4"
"westeurope","Standard_B2als_v2","2","4"
"westeurope","Standard_D2ls_v6","2","4"
"westeurope","Standard_D2lds_v6","2","4"
"westeurope","Standard_D2plds_v5","2","4"
"westeurope","Standard_D2pls_v5","2","4"
"westeurope","Standard_B2pls_v2","2","4"
"westeurope","Standard_D2als_v7","2","4"
"westeurope","Standard_D2alds_v7","2","4"
