"Region","Size"
"eastus","Standard_B2pls_v2"
"eastus","Standard_D2alds_v7"
"eastus","Standard_D2als_v7"
"eastus","Standard_D2lds_v7"
"eastus","Standard_D2ls_v7"
"eastus","Standard_D2plds_v5"
"eastus","Standard_D2pls_v5"
"eastus","Standard_F2alds_v7"
"eastus","Standard_F2als_v7"
"westus2","Standard_B2pls_v2"
"westus2","Standard_D2alds_v7"
"westus2","Standard_D2als_v7"
"westus2","Standard_D2lds_v7"
"westus2","Standard_D2ls_v7"
"westus2","Standard_D2plds_v5"
"westus2","Standard_D2pls_v5"
"westus2","Standard_F2alds_v7"
"westus2","Standard_F2als_v7"
"australiaeast","Standard_B2als_v2"
"australiaeast","Standard_B2ls_v2"
"australiaeast","Standard_B2pls_v2"
"australiaeast","Standard_D2alds_v6"
"australiaeast","Standard_D2alds_v7"
"australiaeast","Standard_D2als_v6"
"australiaeast","Standard_D2als_v7"
"australiaeast","Standard_D2lds_v5"
"australiaeast","Standard_D2lds_v6"
"australiaeast","Standard_D2ls_v5"
"australiaeast","Standard_D2ls_v6"
"australiaeast","Standard_D2plds_v5"
"australiaeast","Standard_D2pls_v5"
"australiaeast","Standard_F2alds_v7"
"australiaeast","Standard_F2als_v6"
"australiaeast","Standard_F2als_v7"
"swedencentral","Standard_B2als_v2"
"swedencentral","Standard_B2ls_v2"
"swedencentral","Standard_B2pls_v2"
"swedencentral","Standard_D2alds_v6"
"swedencentral","Standard_D2alds_v7"
"swedencentral","Standard_D2als_v6"
"swedencentral","Standard_D2als_v7"
"swedencentral","Standard_D2lds_v5"
"swedencentral","Standard_D2lds_v6"
"swedencentral","Standard_D2lds_v7"
"swedencentral","Standard_D2ls_v5"
"swedencentral","Standard_D2ls_v6"
"swedencentral","Standard_D2ls_v7"
"swedencentral","Standard_D2plds_v5"
"swedencentral","Standard_D2plds_v6"
"swedencentral","Standard_D2pls_v5"
"swedencentral","Standard_D2pls_v6"
"swedencentral","Standard_F2alds_v7"
"swedencentral","Standard_F2als_v6"
"swedencentral","Standard_F2als_v7"
"westeurope","Standard_B2als_v2"
"westeurope","Standard_B2ls_v2"
"westeurope","Standard_D2alds_v6"
"westeurope","Standard_D2alds_v7"
"westeurope","Standard_D2als_v6"
"westeurope","Standard_D2als_v7"
"westeurope","Standard_D2lds_v6"
"westeurope","Standard_D2ls_v6"
"westeurope","Standard_D2plds_v6"
"westeurope","Standard_D2pls_v6"
"westeurope","Standard_F2alds_v7"
"westeurope","Standard_F2als_v6"
"westeurope","Standard_F2als_v7"
"uksouth","Standard_D2nls_v6"
"centralus","Standard_B2als_v2"
"centralus","Standard_B2ls_v2"
"centralus","Standard_B2pls_v2"
"centralus","Standard_D2alds_v6"
"centralus","Standard_D2alds_v7"
"centralus","Standard_D2als_v6"
"centralus","Standard_D2als_v7"
"centralus","Standard_D2lds_v5"
"centralus","Standard_D2lds_v6"
"centralus","Standard_D2lds_v7"
"centralus","Standard_D2ls_v5"
"centralus","Standard_D2ls_v6"
"centralus","Standard_D2ls_v7"
"centralus","Standard_D2plds_v6"
"centralus","Standard_D2pls_v6"
"centralus","Standard_F2alds_v7"
"centralus","Standard_F2als_v6"
"centralus","Standard_F2als_v7"
"southafricanorth","Standard_B2als_v2"
"southafricanorth","Standard_B2ls_v2"
"southafricanorth","Standard_D2alds_v6"
"southafricanorth","Standard_D2als_v6"
"southafricanorth","Standard_D2lds_v5"
"southafricanorth","Standard_D2lds_v6"
"southafricanorth","Standard_D2ls_v5"
"southafricanorth","Standard_D2ls_v6"
"southafricanorth","Standard_F2als_v6"
"centralindia","Standard_B2als_v2"
"centralindia","Standard_B2ls_v2"
"centralindia","Standard_B2pls_v2"
"centralindia","Standard_D2lds_v5"
"centralindia","Standard_D2ls_v5"
"centralindia","Standard_D2plds_v5"
"centralindia","Standard_D2pls_v5"
"eastasia","Standard_B2als_v2"
"eastasia","Standard_B2ls_v2"
"eastasia","Standard_B2pls_v2"
"eastasia","Standard_D2alds_v6"
"eastasia","Standard_D2als_v6"
"eastasia","Standard_D2lds_v5"
"eastasia","Standard_D2lds_v6"
"eastasia","Standard_D2ls_v5"
"eastasia","Standard_D2ls_v6"
"eastasia","Standard_D2plds_v5"
"eastasia","Standard_D2pls_v5"
"eastasia","Standard_F2als_v6"
"indiasouthcentral","Standard_A2_v2"
"indiasouthcentral","Standard_B2als_v2"
"indiasouthcentral","Standard_B2ls_v2"
"indiasouthcentral","Standard_B2s"
"indiasouthcentral","Standard_D2alds_v6"
"indiasouthcentral","Standard_D2als_v6"
"indiasouthcentral","Standard_D2lds_v5"
"indiasouthcentral","Standard_D2lds_v6"
"indiasouthcentral","Standard_D2ls_v5"
"indiasouthcentral","Standard_D2ls_v6"
"indiasouthcentral","Standard_F2"
"indiasouthcentral","Standard_F2als_v6"
"indiasouthcentral","Standard_F2s"
"indiasouthcentral","Standard_F2s_v2"
"indonesiacentral","Standard_B2als_v2"
"indonesiacentral","Standard_B2ls_v2"
"indonesiacentral","Standard_D2alds_v6"
"indonesiacentral","Standard_D2als_v6"
"indonesiacentral","Standard_D2lds_v5"
"indonesiacentral","Standard_D2ls_v5"
"indonesiacentral","Standard_F2als_v6"
