zone_id,borough,service_type,base_congestion_factor
1,Queens,Green,1.037
2,Staten Island,FHV,1.489
3,Queens,Yellow,1.237
4,Queens,FHV,0.862
5,EWR,Green,1.209
6,Staten Island,FHV,1.001
7,Staten Island,FHV,1.238
8,Bronx,FHV,0.984
9,Brooklyn,FHV,1.04
10,Queens,FHV,0.982
11,Bronx,Yellow,1.295
12,Bronx,FHV,0.99
13,Bronx,Yellow,1.423
14,Bronx,FHV,1.213
15,EWR,Yellow,1.495
16,Bronx,Green,1.144
17,Brooklyn,Yellow,0.927
18,Brooklyn,Yellow,1.119
19,Queens,Yellow,1.038
20,EWR,FHV,0.891
21,Staten Island,Yellow,1.305
22,Manhattan,Yellow,0.978
23,Manhattan,Green,1.26
24,EWR,Yellow,1.028
25,Staten Island,FHV,1.451
26,Queens,Yellow,1.235
27,EWR,Green,1.14
28,Manhattan,FHV,1.124
29,Queens,FHV,1.253
30,EWR,FHV,0.984
31,Brooklyn,Green,1.281
32,Bronx,Green,1.113
33,Queens,Yellow,1.411
34,Bronx,FHV,1.165
35,Queens,Green,1.164
36,Staten Island,Green,0.94
37,Staten Island,FHV,1.255
38,Queens,Yellow,1.399
39,Bronx,FHV,0.964
40,Manhattan,Yellow,1.224
41,Brooklyn,FHV,0.869
42,Staten Island,FHV,0.974
43,Bronx,FHV,1.17
44,Manhattan,Green,1.303
45,Bronx,FHV,1.01
46,Brooklyn,Green,1.02
47,Staten Island,FHV,0.821
48,Manhattan,FHV,0.962
49,Staten Island,Yellow,1.002
50,Brooklyn,FHV,1.483
51,Staten Island,FHV,1.267
52,Queens,Green,1.348
53,Manhattan,Yellow,0.917
54,Queens,FHV,1.349
55,Staten Island,Yellow,1.23
56,EWR,Yellow,1.056
57,EWR,Yellow,1.011
58,Brooklyn,FHV,1.017
59,Brooklyn,Green,1.38
60,Staten Island,FHV,1.064
61,Bronx,FHV,1.172
62,Bronx,Yellow,1.03
63,Staten Island,Green,1.438
64,Queens,Yellow,1.328
65,Manhattan,Yellow,1.309
66,EWR,Yellow,0.886
67,Staten Island,FHV,1.202
68,Brooklyn,Green,1.361
69,Staten Island,FHV,1.378
70,Staten Island,FHV,0.945
71,Staten Island,FHV,1.0
72,Staten Island,FHV,0.87
73,Manhattan,Green,0.977
74,Staten Island,Yellow,1.088
75,EWR,Yellow,1.426
76,Queens,Green,1.403
77,Staten Island,FHV,1.029
78,EWR,Yellow,1.117
79,EWR,Green,1.4
80,Bronx,FHV,1.181
81,Bronx,Green,1.095
82,Staten Island,Green,1.286
83,Queens,Green,1.122
84,Brooklyn,Yellow,1.136
85,Queens,Yellow,1.496
86,Brooklyn,Yellow,0.885
87,Staten Island,Yellow,1.152
88,Manhattan,FHV,1.251
89,Manhattan,FHV,0.836
90,EWR,FHV,0.916
91,Bronx,Green,1.126
92,Brooklyn,Green,1.472
93,Queens,Yellow,0.869
94,Brooklyn,Yellow,1.039
95,Staten Island,Yellow,1.331
96,EWR,Green,1.045
97,Brooklyn,Green,1.342
98,EWR,Yellow,1.456
99,Manhattan,Green,1.389
100,Brooklyn,FHV,0.985
101,Brooklyn,FHV,1.436
102,Manhattan,Green,1.391
103,Manhattan,Yellow,0.861
104,EWR,FHV,1.347
105,Staten Island,Green,1.448
106,Manhattan,Yellow,1.397
107,EWR,FHV,1.298
108,Staten Island,FHV,1.11
109,Bronx,Yellow,1.166
110,Staten Island,FHV,1.013
111,Brooklyn,FHV,1.177
112,Bronx,Green,1.133
113,Brooklyn,FHV,0.934
114,Manhattan,FHV,1.152
115,EWR,Green,1.481
116,EWR,FHV,1.381
117,EWR,FHV,1.262
118,Staten Island,FHV,1.173
119,Queens,Yellow,0.817
120,EWR,FHV,0.824
121,Brooklyn,Yellow,0.981
122,Manhattan,Green,0.851
123,Bronx,Yellow,1.01
124,Staten Island,Yellow,1.342
125,Staten Island,FHV,1.426
126,Brooklyn,Yellow,1.216
127,Brooklyn,Green,1.191
